LandContour,LotConfig,Neighborhood,BldgType,OverallQual,OverallCond,YearBuilt,CentralAir,X1stFlrSF,X2ndFlrSF,TotRmsAbvGrd,Fireplaces,PavedDrive,SalePrice
Lvl,Inside,BrkSide,1Fam,6,5,1939,Y,874,468,7,1,Y,105000
Lvl,Inside,Blmngtn,TwnhsE,7,5,2003,Y,1455,0,6,1,Y,195000
Lvl,Inside,NAmes,1Fam,4,5,1956,Y,832,505,5,0,Y,108000
Lvl,Inside,OldTown,1Fam,5,5,1958,Y,960,0,5,0,Y,125000
Lvl,CulDSac,NridgHt,1Fam,10,5,2007,Y,2290,0,7,1,Y,500067
Lvl,Inside,Gilbert,1Fam,7,5,2004,Y,848,750,7,1,Y,201490
HLS,Inside,IDOTRR,1Fam,4,7,1900,Y,859,319,7,0,N,102776
Lvl,Inside,Sawyer,1Fam,5,5,1954,Y,1383,0,6,1,Y,165000
Bnk,Inside,SWISU,1Fam,5,8,1939,Y,1052,720,8,1,Y,179500
Lvl,Corner,Sawyer,1Fam,5,6,1961,Y,1144,0,6,1,Y,131400
Lvl,Inside,NAmes,1Fam,6,5,1956,Y,882,0,5,0,Y,124500
Lvl,Inside,ClearCr,1Fam,6,7,1960,Y,1252,0,4,1,Y,235000
Lvl,Inside,BrkSide,1Fam,5,7,1925,N,1015,0,6,0,Y,88000
Lvl,Inside,CollgCr,1Fam,7,5,2005,Y,1734,0,7,0,Y,260000
Lvl,Inside,NAmes,1Fam,5,5,1968,Y,884,886,7,0,Y,155000
HLS,Inside,NridgHt,1Fam,9,5,2003,Y,1792,0,6,1,Y,374000
Lvl,Inside,Sawyer,1Fam,5,4,1955,Y,1779,0,6,1,Y,170000
Lvl,Inside,NAmes,1Fam,4,5,1959,Y,1225,0,6,0,Y,128950
Lvl,Corner,CollgCr,1Fam,8,5,2002,Y,1358,0,5,1,Y,220000
Lvl,CulDSac,NWAmes,1Fam,7,6,1974,Y,1285,782,7,2,Y,206000
HLS,Inside,Crawfor,1Fam,5,5,1951,Y,1226,0,7,1,Y,153500
Lvl,Inside,BrDale,Twnhs,6,6,1972,Y,483,504,5,0,Y,100500
Lvl,Inside,SawyerW,1Fam,7,5,2006,Y,1143,0,5,0,Y,147000
Lvl,Inside,Blmngtn,TwnhsE,7,5,2005,Y,1142,0,6,0,Y,156820
Lvl,Inside,NoRidge,1Fam,9,5,1993,Y,1827,959,10,1,Y,372500
Lvl,CulDSac,Greens,Twnhs,8,5,1980,Y,1235,0,4,3,Y,214000
Lvl,Inside,SawyerW,1Fam,6,5,1994,Y,1679,0,7,1,Y,193500
Lvl,Corner,NWAmes,1Fam,6,7,1968,Y,1512,1142,9,1,Y,250000
Lvl,CulDSac,CollgCr,1Fam,7,5,1999,Y,988,885,7,1,Y,235500
Lvl,Corner,Sawyer,1Fam,2,2,1947,N,660,0,5,0,N,63900
Lvl,Inside,Edwards,1Fam,5,6,1952,Y,1488,0,7,1,Y,135000
Lvl,Inside,Somerst,TwnhsE,6,5,2000,Y,756,756,4,1,Y,168500
Lvl,Inside,Somerst,1Fam,7,5,2006,Y,1112,438,7,0,Y,241000
Lvl,Inside,Edwards,TwnhsE,5,6,1984,Y,1038,0,5,0,Y,130000
Lvl,Inside,IDOTRR,1Fam,6,7,1920,Y,1035,371,6,0,N,89500
Lvl,Inside,NoRidge,1Fam,7,5,1992,Y,1061,862,8,1,Y,190000
Lvl,Inside,Somerst,1Fam,8,5,2008,Y,1468,0,6,1,Y,244600
HLS,CulDSac,StoneBr,1Fam,9,5,2004,Y,1884,0,7,1,Y,387000
Lvl,Inside,OldTown,1Fam,4,4,1910,Y,981,779,7,1,Y,80000
Lvl,Corner,OldTown,1Fam,4,7,1940,Y,672,0,4,0,N,86900
Lvl,Corner,CollgCr,1Fam,5,7,1972,Y,768,0,5,0,Y,133000
Lvl,Inside,NAmes,1Fam,3,3,1929,N,715,0,4,0,N,68000
Lvl,Inside,MeadowV,Twnhs,6,9,1970,Y,546,546,6,0,Y,98000
Lvl,Inside,NoRidge,1Fam,10,5,2001,Y,2633,0,8,2,Y,466500
Lvl,Inside,Edwards,1Fam,3,3,1914,N,864,0,5,0,Y,58500
Lvl,Inside,Edwards,1Fam,4,7,1948,Y,624,312,5,0,Y,97900
Lvl,Inside,CollgCr,1Fam,7,5,2000,Y,1673,0,7,1,Y,270000
Lvl,Corner,OldTown,1Fam,4,8,1900,Y,717,322,6,0,N,114000
Lvl,Inside,SawyerW,1Fam,6,5,1995,Y,754,855,6,0,Y,182000
Lvl,Corner,CollgCr,1Fam,7,5,1999,Y,951,828,7,1,Y,217000
HLS,Inside,Crawfor,1Fam,8,6,1934,Y,1940,1254,10,2,Y,359100
Lvl,Inside,OldTown,1Fam,5,5,1910,N,680,680,6,0,Y,111000
Lvl,Inside,OldTown,1Fam,4,6,1900,N,761,380,6,0,Y,85000
Lvl,Inside,Somerst,1Fam,9,5,2008,Y,1506,0,6,1,Y,264132
Lvl,Inside,NridgHt,1Fam,9,5,2009,Y,1627,707,10,1,Y,376162
Lvl,Inside,Edwards,1Fam,5,6,1956,Y,1509,0,6,1,Y,159900
Lvl,CulDSac,Somerst,1Fam,8,5,2005,Y,2097,0,8,1,Y,423000
Lvl,Inside,OldTown,1Fam,4,5,1950,Y,864,0,5,0,Y,105000
Lvl,Inside,CollgCr,1Fam,7,5,1997,Y,1418,0,5,1,Y,226001
Lvl,Corner,NWAmes,1Fam,7,7,1972,Y,1610,0,8,1,Y,185000
Lvl,Inside,NridgHt,TwnhsE,9,5,2005,Y,1577,0,6,1,Y,280000
Lvl,CulDSac,CollgCr,1Fam,5,4,1977,Y,907,0,5,0,Y,130000
Lvl,Inside,Somerst,1Fam,7,5,2005,Y,1026,932,9,1,Y,250000
Lvl,Inside,IDOTRR,1Fam,5,9,1930,Y,1001,0,5,0,N,124900
Lvl,Inside,NAmes,1Fam,5,7,1960,Y,1248,0,6,0,Y,151500
Lvl,Inside,SawyerW,1Fam,7,5,1994,Y,1029,929,7,1,Y,220000
Lvl,Inside,NAmes,1Fam,6,6,1952,Y,948,0,5,0,N,125000
Low,Inside,SawyerW,1Fam,7,5,1988,Y,1180,882,7,1,Y,277000
Lvl,Inside,MeadowV,Twnhs,4,3,1976,Y,546,546,6,0,Y,75190
Lvl,Inside,NAmes,1Fam,4,6,1971,Y,858,0,4,0,Y,110000
Lvl,Inside,BrDale,Twnhs,5,7,1972,Y,630,672,6,0,Y,119500
Lvl,FR2,CollgCr,1Fam,7,5,2005,Y,1336,0,6,0,Y,198000
Lvl,Corner,NAmes,1Fam,5,6,1959,Y,1327,0,7,0,Y,150750
Lvl,Inside,OldTown,1Fam,3,5,1958,Y,792,0,4,0,Y,99900
Lvl,Inside,OldTown,1Fam,8,5,1872,N,938,1215,8,0,Y,122000
Lvl,Inside,IDOTRR,1Fam,6,6,1952,Y,768,768,7,0,Y,136000
HLS,Inside,Crawfor,1Fam,5,6,1937,Y,1265,673,7,1,Y,198000
Lvl,Inside,NridgHt,Twnhs,6,5,2005,Y,1306,0,5,1,Y,196000
Lvl,Inside,Gilbert,1Fam,7,5,2004,Y,840,880,7,1,Y,183500
Lvl,Inside,Mitchel,Duplex,6,5,1977,Y,1004,0,4,0,Y,135000
Lvl,Inside,OldTown,1Fam,4,4,1920,Y,960,0,5,0,Y,108500
Low,Inside,ClearCr,1Fam,5,6,1963,Y,1000,0,4,2,Y,164000
Lvl,Inside,Somerst,1Fam,7,5,2003,Y,1016,868,7,1,Y,240900
Lvl,Inside,Somerst,1Fam,9,5,2009,Y,1766,0,7,1,Y,370878
Lvl,Corner,OldTown,1Fam,2,5,1946,N,407,0,3,0,Y,46500
Lvl,Corner,Edwards,1Fam,5,6,1954,Y,992,0,6,0,Y,155891
Lvl,Inside,CollgCr,1Fam,7,5,1997,Y,892,800,8,1,Y,191000
Lvl,Inside,Somerst,1Fam,7,6,2007,Y,874,887,7,0,Y,227875
Lvl,Inside,Somerst,1Fam,7,5,2005,Y,960,1358,8,1,Y,294323
Lvl,Inside,ClearCr,1Fam,6,5,1968,Y,1388,0,6,1,Y,158900
Lvl,Inside,NridgHt,1Fam,9,5,2004,Y,1462,762,10,1,Y,350000
Bnk,Inside,Edwards,1Fam,4,5,1954,Y,948,0,5,0,Y,111000
Low,Inside,ClearCr,1Fam,7,5,1986,Y,1453,0,6,1,Y,190000
Bnk,CulDSac,ClearCr,1Fam,6,6,1966,Y,1643,0,6,1,Y,195000
Lvl,Inside,Sawyer,1Fam,5,5,1968,Y,720,720,7,2,Y,163000
Lvl,Inside,Crawfor,1Fam,7,9,1941,Y,1188,1152,9,2,Y,266500
Lvl,FR2,Mitchel,TwnhsE,6,5,1997,Y,1189,0,4,0,Y,160500
Lvl,CulDSac,NWAmes,1Fam,7,7,1976,Y,1142,793,7,1,Y,197900
Lvl,FR2,NoRidge,1Fam,9,5,2000,Y,1533,639,8,1,Y,291000
Lvl,Inside,CollgCr,TwnhsE,6,5,2003,Y,848,0,3,0,Y,131500
Lvl,CulDSac,NoRidge,1Fam,8,5,1998,Y,1645,830,7,1,Y,355000
Lvl,Inside,CollgCr,1Fam,5,7,1979,Y,914,0,5,0,Y,134900
Lvl,Inside,CollgCr,1Fam,5,5,1976,Y,954,0,6,0,Y,132500
Lvl,Inside,BrkSide,1Fam,6,6,1919,Y,1060,764,8,1,N,180500
Lvl,Inside,NAmes,1Fam,6,5,1964,Y,1374,0,7,1,Y,147000
Lvl,Corner,NAmes,Duplex,5,5,1968,Y,1560,0,8,0,Y,126000
Lvl,CulDSac,Crawfor,1Fam,6,4,1960,Y,1560,0,6,3,Y,201000
Lvl,Inside,NAmes,1Fam,4,5,1971,Y,872,0,5,0,Y,123000
Lvl,CulDSac,Sawyer,1Fam,5,5,1982,Y,858,0,5,0,Y,134900
Lvl,Inside,Somerst,1Fam,8,5,2001,Y,1568,0,6,1,Y,221000
Lvl,Inside,Gilbert,1Fam,7,5,2004,Y,847,886,7,1,Y,185088
Lvl,Inside,NAmes,1Fam,5,5,1964,Y,912,0,5,0,Y,115000
Lvl,Inside,NAmes,1Fam,5,7,1953,Y,1057,0,5,0,Y,109000
Lvl,Corner,OldTown,1Fam,7,8,1879,Y,1312,1142,8,1,N,185000
Lvl,Inside,NAmes,1Fam,5,5,1954,Y,1128,0,5,0,Y,118000
Lvl,CulDSac,Sawyer,1Fam,5,6,1965,Y,935,0,5,0,Y,137000
Lvl,Inside,OldTown,1Fam,5,9,1945,Y,866,0,4,0,Y,110500
Lvl,Inside,OldTown,1Fam,7,9,1928,Y,689,689,7,1,N,161000
Lvl,Inside,OldTown,1Fam,6,7,1917,Y,664,624,5,1,N,119000
Lvl,Inside,Sawyer,1Fam,5,5,1961,Y,864,0,5,0,Y,122000
Bnk,Inside,SawyerW,Duplex,5,5,1979,Y,1224,0,6,2,Y,153337
Lvl,Inside,NridgHt,Twnhs,6,5,2005,Y,1302,0,5,1,Y,204000
Lvl,Inside,Gilbert,1Fam,6,5,2004,Y,864,729,8,1,Y,193000
Lvl,Inside,NAmes,1Fam,5,4,1935,Y,1308,1778,9,0,Y,301600
Bnk,Corner,IDOTRR,Duplex,5,5,1963,N,816,0,5,0,Y,110000
Lvl,Corner,NPkVill,TwnhsE,6,6,1976,Y,804,744,7,1,Y,155000
Lvl,Inside,SawyerW,1Fam,6,5,1997,Y,941,896,7,0,Y,187000
Lvl,Corner,NAmes,Duplex,5,5,1979,Y,943,0,4,2,Y,135960
Lvl,CulDSac,Edwards,1Fam,5,3,1964,Y,1298,0,5,0,N,114000
Lvl,Inside,NAmes,1Fam,5,6,1959,Y,1144,0,6,1,Y,143000
Lvl,Inside,NridgHt,TwnhsE,9,5,2005,Y,1752,0,6,1,Y,319900
Lvl,FR2,NWAmes,1Fam,6,6,1978,Y,1032,0,6,1,Y,148000
HLS,Inside,Timber,1Fam,8,5,2006,Y,1646,0,6,1,Y,248900
Lvl,Inside,CollgCr,1Fam,7,5,2002,Y,936,840,7,1,Y,192500
Lvl,Inside,NridgHt,1Fam,9,5,2008,Y,1966,1174,11,2,Y,485000
Lvl,Corner,NWAmes,1Fam,7,6,1973,Y,1107,983,7,2,Y,200000
Lvl,Inside,Edwards,1Fam,6,4,1945,Y,798,689,7,1,Y,113000
Lvl,Inside,CollgCr,1Fam,4,5,1994,Y,990,0,5,0,Y,123600
Lvl,Corner,Sawyer,Duplex,6,5,1964,Y,1921,0,8,0,Y,150000
Lvl,Inside,Edwards,1Fam,6,8,1935,Y,1836,1836,7,2,Y,415000
Lvl,Inside,NAmes,1Fam,5,5,1959,Y,1183,0,6,0,Y,138000
Lvl,Inside,Gilbert,1Fam,6,5,2005,Y,783,701,8,1,Y,178900
Lvl,Inside,Somerst,1Fam,8,5,2007,Y,1341,520,7,1,Y,257000
Lvl,Inside,NridgHt,1Fam,9,5,2003,Y,1944,0,8,3,Y,360000
Lvl,Corner,NAmes,1Fam,6,7,1948,Y,1064,0,6,0,Y,135000
Lvl,Inside,StoneBr,1Fam,9,5,2005,Y,1992,876,11,1,Y,556581
Lvl,Inside,NridgHt,TwnhsE,9,5,2006,Y,1666,0,6,1,Y,310090
Low,Inside,Mitchel,Duplex,5,4,1967,Y,1632,0,8,0,P,143000
Lvl,Inside,NAmes,1Fam,6,9,1958,Y,951,0,6,0,Y,143500
Lvl,Inside,NWAmes,1Fam,6,6,1967,Y,1829,0,8,0,Y,218500
Lvl,Inside,CollgCr,1Fam,6,5,1997,Y,905,881,7,0,Y,204750
Lvl,Corner,OldTown,1Fam,5,4,1900,N,889,551,6,0,Y,79000
Lvl,FR2,NAmes,1Fam,6,8,1969,Y,1054,0,6,0,Y,151000
Lvl,Inside,Mitchel,1Fam,5,5,1992,Y,970,0,6,0,Y,132000
Lvl,Corner,NAmes,1Fam,5,7,1954,Y,1056,0,6,0,Y,139400
Lvl,Corner,Gilbert,1Fam,6,5,2005,Y,1324,0,6,0,Y,199500
Lvl,Inside,CollgCr,1Fam,6,5,1998,Y,804,878,7,0,Y,200500
Lvl,Inside,NWAmes,1Fam,6,5,1972,Y,1012,778,8,1,Y,165150
Lvl,Inside,NAmes,1Fam,5,6,1962,Y,864,0,5,0,Y,105000
HLS,Inside,Crawfor,1Fam,7,7,1932,Y,959,650,8,2,Y,199500
Lvl,Inside,SWISU,1Fam,5,6,1924,Y,1026,665,6,1,Y,127000
Lvl,FR2,Sawyer,1Fam,5,5,1950,Y,1640,0,7,1,Y,131000
Lvl,Inside,Somerst,1Fam,8,5,2000,Y,1058,816,7,1,Y,220000
Lvl,Inside,StoneBr,TwnhsE,8,5,2000,Y,1652,0,6,0,Y,251000
Lvl,Inside,OldTown,1Fam,7,5,1931,Y,1022,752,8,2,Y,129900
Lvl,Inside,NoRidge,1Fam,8,5,1995,Y,1358,1368,9,1,Y,350000
Lvl,Inside,OldTown,1Fam,4,6,1956,Y,882,0,4,0,Y,103200
Lvl,Inside,NAmes,2fmCon,6,5,1958,Y,1095,0,6,0,Y,140000
Lvl,Corner,NridgHt,1Fam,8,5,2007,Y,2122,0,7,1,Y,345474
HLS,Inside,StoneBr,TwnhsE,9,5,2005,Y,1714,0,7,1,Y,318000
Lvl,Inside,NAmes,1Fam,5,5,1955,Y,1216,0,5,0,Y,129500
Lvl,Inside,CollgCr,1Fam,7,5,2005,Y,728,728,7,1,Y,189000
Lvl,CulDSac,Somerst,TwnhsE,7,5,2004,Y,1488,0,6,1,Y,260000
Lvl,Inside,NWAmes,1Fam,6,6,1978,Y,2073,0,7,2,Y,210000
Lvl,Corner,NAmes,1Fam,5,7,1951,Y,952,0,4,0,Y,139000
Lvl,Corner,NridgHt,1Fam,9,5,2004,Y,1780,0,7,1,Y,378000
Lvl,Inside,OldTown,2fmCon,4,5,1920,Y,736,716,8,0,N,113000
Lvl,Inside,SawyerW,1Fam,6,5,1983,Y,1338,0,5,1,Y,156500
Lvl,Inside,Mitchel,Duplex,7,5,1988,Y,1959,0,9,0,Y,171000
Lvl,Inside,OldTown,1Fam,6,6,1927,Y,866,430,6,0,Y,127500
Lvl,Inside,NAmes,1Fam,7,6,1973,Y,2223,0,8,2,Y,244000
Lvl,Inside,NAmes,1Fam,5,7,1949,Y,1036,0,6,1,Y,133000
Lvl,Inside,Somerst,1Fam,7,5,2008,Y,1436,0,6,0,Y,225000
Lvl,Inside,NAmes,Duplex,5,5,1958,Y,1560,0,8,0,Y,128600
Lvl,Inside,Somerst,TwnhsE,8,5,2006,Y,1550,0,5,0,Y,207500
Lvl,Inside,CollgCr,1Fam,9,5,2000,Y,1476,677,8,2,Y,313000
Lvl,Inside,Crawfor,1Fam,4,5,1995,Y,1680,0,7,0,Y,170000
Lvl,Inside,CollgCr,1Fam,7,5,2006,Y,1294,0,6,1,Y,193879
Lvl,Inside,SWISU,2fmCon,5,8,1916,Y,948,980,10,0,N,160000
Lvl,Inside,NridgHt,TwnhsE,8,5,2006,Y,1370,0,6,1,Y,205000
HLS,Corner,Timber,1Fam,8,5,2007,Y,920,860,6,1,Y,264966
Lvl,FR3,IDOTRR,1Fam,5,8,1910,Y,665,665,7,0,N,116500
Lvl,Inside,SawyerW,1Fam,5,5,2004,Y,1114,0,6,0,Y,159000
Lvl,Inside,Gilbert,1Fam,7,5,2003,Y,847,1101,8,1,Y,211000
Lvl,Inside,Mitchel,1Fam,5,6,1992,Y,883,0,5,1,Y,149000
Lvl,Inside,NPkVill,Twnhs,7,7,1978,Y,1055,0,4,0,Y,142500
Lvl,Inside,NAmes,1Fam,5,9,1953,Y,1154,0,6,0,Y,142000
Lvl,Inside,Somerst,Twnhs,7,5,2005,Y,520,623,4,0,Y,147400
Lvl,CulDSac,NridgHt,1Fam,8,5,2007,Y,1508,1012,10,1,Y,409900
Lvl,Inside,CollgCr,1Fam,8,5,1998,Y,1210,1242,9,1,Y,267000
Lvl,Inside,MeadowV,TwnhsE,4,6,1972,Y,546,546,5,0,Y,85500
Lvl,Inside,NAmes,1Fam,4,7,1949,Y,832,629,6,0,Y,133500
Lvl,Inside,Timber,1Fam,6,5,2000,Y,1403,0,5,0,Y,202000
Lvl,Corner,Gilbert,1Fam,7,5,2003,Y,847,886,7,1,Y,225000
Lvl,Inside,NoRidge,1Fam,8,5,1997,Y,1407,985,7,1,Y,348000
Lvl,Inside,NWAmes,1Fam,7,6,1993,Y,1594,0,6,1,Y,188500
Lvl,Inside,Sawyer,Duplex,5,5,1977,Y,1361,1259,12,1,N,190000
Lvl,Inside,OldTown,1Fam,3,5,1905,Y,714,662,7,0,N,96900
Lvl,Inside,Gilbert,1Fam,7,5,2003,Y,847,1139,9,1,Y,213000
Lvl,Inside,OldTown,1Fam,6,7,1915,Y,728,728,7,0,N,139500
Lvl,Inside,IDOTRR,1Fam,5,5,1950,Y,910,648,6,0,Y,152000
Lvl,Inside,Edwards,1Fam,6,6,1976,Y,1125,0,6,1,Y,125000
Lvl,Inside,OldTown,1Fam,5,7,1954,Y,833,0,4,0,Y,117000
Lvl,Inside,CollgCr,1Fam,8,5,2004,Y,2000,0,8,0,Y,305900
Lvl,Inside,CollgCr,1Fam,5,8,1972,Y,768,0,5,0,Y,133900
Lvl,Inside,Crawfor,1Fam,6,8,1932,Y,1170,1175,9,1,Y,239000
Lvl,Inside,NWAmes,1Fam,6,7,1968,Y,1489,0,7,1,Y,185750
Bnk,Inside,OldTown,1Fam,5,5,1925,N,764,0,4,0,N,73000
Lvl,Inside,NridgHt,TwnhsE,7,5,2007,Y,1358,0,6,1,Y,212500
Lvl,CulDSac,CollgCr,1Fam,5,6,1975,Y,1558,0,5,0,Y,163000
Lvl,Inside,Gilbert,1Fam,7,5,2004,Y,868,762,7,1,Y,189500
Bnk,Inside,NAmes,1Fam,5,6,1955,Y,1056,0,6,0,Y,125000
Lvl,Inside,NridgHt,1Fam,10,5,2006,Y,2076,0,7,1,Y,465000
Lvl,Inside,NridgHt,1Fam,9,5,2006,Y,1850,898,9,1,Y,390000
Lvl,Corner,BrkSide,1Fam,5,5,1924,Y,822,320,6,0,Y,93000
Lvl,Inside,BrkSide,1Fam,7,6,1925,Y,1133,687,8,0,N,184000
Lvl,Inside,Gilbert,1Fam,7,5,1996,Y,958,670,7,1,Y,189000
Lvl,Inside,Edwards,1Fam,5,5,1956,Y,1073,0,5,0,Y,121500
Lvl,Inside,BrkSide,1Fam,5,5,1925,Y,1072,0,5,0,P,126500
Lvl,Inside,NAmes,1Fam,6,6,1963,Y,1045,0,6,1,Y,127000
Lvl,Corner,BrkSide,1Fam,3,6,1949,N,720,0,4,0,Y,72500
Lvl,Corner,Crawfor,2fmCon,5,5,1953,Y,1336,0,5,2,Y,157000
Lvl,Inside,Somerst,1Fam,8,5,2005,Y,1082,871,9,1,Y,252000
Lvl,Inside,SawyerW,Duplex,7,5,2000,Y,1168,1619,8,2,Y,269500
