"","LandContour","LotConfig","Neighborhood","BldgType","OverallQual","OverallCond","YearBuilt","CentralAir","X1stFlrSF","X2ndFlrSF","TotRmsAbvGrd","Fireplaces","PavedDrive","SalePrice"
"35","HLS","Inside","Crawfor","1Fam","5","6",1940,"Y",840,727,6,2,"Y",205000
"36","Lvl","FR2","Sawyer","1Fam","5","5",1967,"Y",912,0,5,1,"Y",125000
"37","Bnk","Inside","NAmes","1Fam","5","6",1945,"Y",1048,510,6,1,"Y",140000
"38","Lvl","Corner","CollgCr","1Fam","8","5",2002,"Y",1091,898,7,1,"Y",255000
"39","Lvl","Inside","BrkSide","1Fam","5","7",1939,"Y",728,546,6,0,"Y",135000
"40","Lvl","Inside","NAmes","1Fam","5","4",1961,"Y",1150,0,6,0,"Y",146000
"41","Bnk","Inside","OldTown","1Fam","6","7",1920,"Y",1088,110,7,0,"N",79900
"42","Lvl","Inside","Mitchel","1Fam","5","7",1983,"Y",816,0,4,0,"Y",128500
"43","Lvl","Inside","NridgHt","TwnhsE","7","5",2003,"Y",1405,0,6,1,"Y",173000
"44","Lvl","Corner","Crawfor","1Fam","8","9",1925,"Y",798,714,7,1,"P",231000
"45","Lvl","Inside","MeadowV","Twnhs","4","5",1970,"Y",530,462,4,0,"Y",106500
"46","Lvl","Inside","OldTown","1Fam","5","6",1939,"Y",868,690,7,1,"Y",150000
"47","Lvl","Inside","Sawyer","1Fam","4","9",1946,"Y",704,0,4,0,"Y",88750
"48","Lvl","Corner","Gilbert","1Fam","6","8",1993,"Y",680,790,6,1,"Y",185000
"49","Lvl","Inside","NWAmes","1Fam","6","7",1967,"Y",1271,1369,8,1,"Y",256900
"50","Lvl","Inside","Gilbert","1Fam","7","5",2003,"Y",807,702,8,1,"Y",180000
"51","Lvl","Inside","Sawyer","1Fam","5","5",1968,"Y",1159,0,7,1,"Y",158000
"52","Lvl","Inside","NAmes","1Fam","5","6",1955,"Y",1024,564,6,0,"Y",150000
"53","Lvl","Inside","NAmes","1Fam","5","5",1956,"Y",1384,0,6,0,"Y",159000
"54","Lvl","Inside","StoneBr","TwnhsE","8","5",1988,"Y",1179,0,5,0,"Y",182000
"55","Lvl","Corner","ClearCr","1Fam","6","5",1988,"Y",1164,896,8,1,"Y",211000
"56","Lvl","Inside","Blmngtn","TwnhsE","7","5",2006,"Y",1145,0,6,0,"Y",160000
"57","Lvl","Inside","NWAmes","1Fam","7","6",1976,"Y",1098,866,8,1,"Y",205000
"58","Lvl","Inside","NAmes","1Fam","5","5",1951,"Y",1216,0,7,0,"Y",135000
"59","Lvl","Corner","NAmes","1Fam","6","6",1966,"Y",1888,0,6,1,"Y",190000
"60","Lvl","Inside","CollgCr","TwnhsE","6","5",2003,"Y",848,0,4,0,"Y",144000
"61","Lvl","Inside","CollgCr","1Fam","7","5",2006,"Y",1391,571,7,0,"Y",239799
"62","Lvl","Inside","BrkSide","1Fam","6","9",1937,"Y",786,390,4,0,"N",134900
"63","Lvl","Inside","CollgCr","1Fam","6","5",1995,"Y",1200,0,6,0,"Y",177500
"64","Lvl","Inside","NWAmes","1Fam","5","6",1973,"Y",1178,0,5,1,"Y",157000
"65","Bnk","Inside","OldTown","1Fam","5","7",1957,"Y",1347,0,6,0,"Y",143000
"66","Lvl","Inside","NWAmes","1Fam","6","6",1974,"Y",1103,0,6,0,"Y",155000
"67","Lvl","Inside","Edwards","1Fam","5","5",2005,"Y",734,674,6,0,"Y",171500
"68","Lvl","Inside","OldTown","2fmCon","4","6",1910,"Y",828,658,9,0,"N",118000
"69","Lvl","CulDSac","Crawfor","1Fam","6","6",1968,"Y",1488,0,7,2,"Y",215000
"70","Lvl","Inside","OldTown","2fmCon","4","6",1900,"N",1084,867,9,0,"P",111500
"71","HLS","Corner","StoneBr","1Fam","8","5",2005,"Y",1168,1332,9,1,"Y",355000
"72","Lvl","Inside","OldTown","1Fam","5","5",1922,"Y",1254,182,7,1,"N",139000
"73","Lvl","Corner","NWAmes","1Fam","7","7",1978,"Y",1420,1420,8,2,"Y",292500
"74","Lvl","Corner","NoRidge","1Fam","8","5",1998,"Y",1165,1098,10,1,"Y",258000
"75","Lvl","Inside","NoRidge","1Fam","8","5",1993,"Y",1251,1098,9,1,"Y",362500
"76","Lvl","Corner","SWISU","1Fam","5","4",1938,"Y",832,436,7,2,"Y",160000
"77","Lvl","Inside","BrkSide","1Fam","6","5",1939,"Y",874,468,7,1,"Y",105000
"78","Lvl","Inside","Blmngtn","TwnhsE","7","5",2003,"Y",1455,0,6,1,"Y",195000
"79","Lvl","Inside","NAmes","1Fam","4","5",1956,"Y",832,505,5,0,"Y",108000
"80","Lvl","Inside","OldTown","1Fam","5","5",1958,"Y",960,0,5,0,"Y",125000
"81","Lvl","CulDSac","NridgHt","1Fam","10","5",2007,"Y",2290,0,7,1,"Y",500067
"82","Lvl","Inside","Gilbert","1Fam","7","5",2004,"Y",848,750,7,1,"Y",201490
"83","HLS","Inside","IDOTRR","1Fam","4","7",1900,"Y",859,319,7,0,"N",102776
"84","Lvl","Inside","Sawyer","1Fam","5","5",1954,"Y",1383,0,6,1,"Y",165000
"85","Bnk","Inside","SWISU","1Fam","5","8",1939,"Y",1052,720,8,1,"Y",179500
"86","Lvl","Corner","Sawyer","1Fam","5","6",1961,"Y",1144,0,6,1,"Y",131400
"87","Lvl","Inside","NAmes","1Fam","6","5",1956,"Y",882,0,5,0,"Y",124500
"88","Lvl","Inside","ClearCr","1Fam","6","7",1960,"Y",1252,0,4,1,"Y",235000
"89","Lvl","Inside","BrkSide","1Fam","5","7",1925,"N",1015,0,6,0,"Y",88000
"90","Lvl","Inside","CollgCr","1Fam","7","5",2005,"Y",1734,0,7,0,"Y",260000
"91","Lvl","Inside","NAmes","1Fam","5","5",1968,"Y",884,886,7,0,"Y",155000
"92","HLS","Inside","NridgHt","1Fam","9","5",2003,"Y",1792,0,6,1,"Y",374000
"93","Lvl","Inside","Sawyer","1Fam","5","4",1955,"Y",1779,0,6,1,"Y",170000
"94","Lvl","Inside","NAmes","1Fam","4","5",1959,"Y",1225,0,6,0,"Y",128950
"95","Lvl","Corner","CollgCr","1Fam","8","5",2002,"Y",1358,0,5,1,"Y",220000
"96","Lvl","CulDSac","NWAmes","1Fam","7","6",1974,"Y",1285,782,7,2,"Y",206000
"97","HLS","Inside","Crawfor","1Fam","5","5",1951,"Y",1226,0,7,1,"Y",153500
"98","Lvl","Inside","BrDale","Twnhs","6","6",1972,"Y",483,504,5,0,"Y",100500
"99","Lvl","Inside","SawyerW","1Fam","7","5",2006,"Y",1143,0,5,0,"Y",147000
"100","Lvl","Inside","Blmngtn","TwnhsE","7","5",2005,"Y",1142,0,6,0,"Y",156820
"101","Lvl","Inside","NoRidge","1Fam","9","5",1993,"Y",1827,959,10,1,"Y",372500
"102","Lvl","CulDSac","Greens","Twnhs","8","5",1980,"Y",1235,0,4,3,"Y",214000
"103","Lvl","Inside","SawyerW","1Fam","6","5",1994,"Y",1679,0,7,1,"Y",193500
"104","Lvl","Corner","NWAmes","1Fam","6","7",1968,"Y",1512,1142,9,1,"Y",250000
"105","Lvl","CulDSac","CollgCr","1Fam","7","5",1999,"Y",988,885,7,1,"Y",235500
"106","Lvl","Corner","Sawyer","1Fam","2","2",1947,"N",660,0,5,0,"N",63900
"107","Lvl","Inside","Edwards","1Fam","5","6",1952,"Y",1488,0,7,1,"Y",135000
"108","Lvl","Inside","Somerst","TwnhsE","6","5",2000,"Y",756,756,4,1,"Y",168500
"109","Lvl","Inside","Somerst","1Fam","7","5",2006,"Y",1112,438,7,0,"Y",241000
"110","Lvl","Inside","Edwards","TwnhsE","5","6",1984,"Y",1038,0,5,0,"Y",130000
"111","Lvl","Inside","IDOTRR","1Fam","6","7",1920,"Y",1035,371,6,0,"N",89500
"112","Lvl","Inside","NoRidge","1Fam","7","5",1992,"Y",1061,862,8,1,"Y",190000
"113","Lvl","Inside","Somerst","1Fam","8","5",2008,"Y",1468,0,6,1,"Y",244600
"114","HLS","CulDSac","StoneBr","1Fam","9","5",2004,"Y",1884,0,7,1,"Y",387000
"115","Lvl","Inside","OldTown","1Fam","4","4",1910,"Y",981,779,7,1,"Y",80000
"116","Lvl","Corner","OldTown","1Fam","4","7",1940,"Y",672,0,4,0,"N",86900
"117","Lvl","Corner","CollgCr","1Fam","5","7",1972,"Y",768,0,5,0,"Y",133000
"118","Lvl","Inside","NAmes","1Fam","3","3",1929,"N",715,0,4,0,"N",68000
"119","Lvl","Inside","MeadowV","Twnhs","6","9",1970,"Y",546,546,6,0,"Y",98000
"120","Lvl","Inside","NoRidge","1Fam","10","5",2001,"Y",2633,0,8,2,"Y",466500
"121","Lvl","Inside","Edwards","1Fam","3","3",1914,"N",864,0,5,0,"Y",58500
"122","Lvl","Inside","Edwards","1Fam","4","7",1948,"Y",624,312,5,0,"Y",97900
"123","Lvl","Inside","CollgCr","1Fam","7","5",2000,"Y",1673,0,7,1,"Y",270000
"124","Lvl","Corner","OldTown","1Fam","4","8",1900,"Y",717,322,6,0,"N",114000
"125","Lvl","Inside","SawyerW","1Fam","6","5",1995,"Y",754,855,6,0,"Y",182000
"126","Lvl","Corner","CollgCr","1Fam","7","5",1999,"Y",951,828,7,1,"Y",217000
"127","HLS","Inside","Crawfor","1Fam","8","6",1934,"Y",1940,1254,10,2,"Y",359100
"128","Lvl","Inside","OldTown","1Fam","5","5",1910,"N",680,680,6,0,"Y",111000
"129","Lvl","Inside","OldTown","1Fam","4","6",1900,"N",761,380,6,0,"Y",85000
"130","Lvl","Inside","Somerst","1Fam","9","5",2008,"Y",1506,0,6,1,"Y",264132
"131","Lvl","Inside","NridgHt","1Fam","9","5",2009,"Y",1627,707,10,1,"Y",376162
"132","Lvl","Inside","Edwards","1Fam","5","6",1956,"Y",1509,0,6,1,"Y",159900
"133","Lvl","CulDSac","Somerst","1Fam","8","5",2005,"Y",2097,0,8,1,"Y",423000
"134","Lvl","Inside","OldTown","1Fam","4","5",1950,"Y",864,0,5,0,"Y",105000
"135","Lvl","Inside","CollgCr","1Fam","7","5",1997,"Y",1418,0,5,1,"Y",226001
"136","Lvl","Corner","NWAmes","1Fam","7","7",1972,"Y",1610,0,8,1,"Y",185000
"137","Lvl","Inside","NridgHt","TwnhsE","9","5",2005,"Y",1577,0,6,1,"Y",280000
"138","Lvl","CulDSac","CollgCr","1Fam","5","4",1977,"Y",907,0,5,0,"Y",130000
"139","Lvl","Inside","Somerst","1Fam","7","5",2005,"Y",1026,932,9,1,"Y",250000
"140","Lvl","Inside","IDOTRR","1Fam","5","9",1930,"Y",1001,0,5,0,"N",124900
"141","Lvl","Inside","NAmes","1Fam","5","7",1960,"Y",1248,0,6,0,"Y",151500
"142","Lvl","Inside","SawyerW","1Fam","7","5",1994,"Y",1029,929,7,1,"Y",220000
"143","Lvl","Inside","NAmes","1Fam","6","6",1952,"Y",948,0,5,0,"N",125000
"144","Low","Inside","SawyerW","1Fam","7","5",1988,"Y",1180,882,7,1,"Y",277000
"145","Lvl","Inside","MeadowV","Twnhs","4","3",1976,"Y",546,546,6,0,"Y",75190
"146","Lvl","Inside","NAmes","1Fam","4","6",1971,"Y",858,0,4,0,"Y",110000
"147","Lvl","Inside","BrDale","Twnhs","5","7",1972,"Y",630,672,6,0,"Y",119500
"148","Lvl","FR2","CollgCr","1Fam","7","5",2005,"Y",1336,0,6,0,"Y",198000
"149","Lvl","Corner","NAmes","1Fam","5","6",1959,"Y",1327,0,7,0,"Y",150750
"150","Lvl","Inside","OldTown","1Fam","3","5",1958,"Y",792,0,4,0,"Y",99900
"151","Lvl","Inside","OldTown","1Fam","8","5",1872,"N",938,1215,8,0,"Y",122000
"152","Lvl","Inside","IDOTRR","1Fam","6","6",1952,"Y",768,768,7,0,"Y",136000
"153","HLS","Inside","Crawfor","1Fam","5","6",1937,"Y",1265,673,7,1,"Y",198000
"154","Lvl","Inside","NridgHt","Twnhs","6","5",2005,"Y",1306,0,5,1,"Y",196000
"155","Lvl","Inside","Gilbert","1Fam","7","5",2004,"Y",840,880,7,1,"Y",183500
"156","Lvl","Inside","Mitchel","Duplex","6","5",1977,"Y",1004,0,4,0,"Y",135000
"157","Lvl","Inside","OldTown","1Fam","4","4",1920,"Y",960,0,5,0,"Y",108500
"158","Low","Inside","ClearCr","1Fam","5","6",1963,"Y",1000,0,4,2,"Y",164000
"159","Lvl","Inside","Somerst","1Fam","7","5",2003,"Y",1016,868,7,1,"Y",240900
"160","Lvl","Inside","Somerst","1Fam","9","5",2009,"Y",1766,0,7,1,"Y",370878
"161","Lvl","Corner","OldTown","1Fam","2","5",1946,"N",407,0,3,0,"Y",46500
"162","Lvl","Corner","Edwards","1Fam","5","6",1954,"Y",992,0,6,0,"Y",155891
"163","Lvl","Inside","CollgCr","1Fam","7","5",1997,"Y",892,800,8,1,"Y",191000
"164","Lvl","Inside","Somerst","1Fam","7","6",2007,"Y",874,887,7,0,"Y",227875
"165","Lvl","Inside","Somerst","1Fam","7","5",2005,"Y",960,1358,8,1,"Y",294323
"166","Lvl","Inside","ClearCr","1Fam","6","5",1968,"Y",1388,0,6,1,"Y",158900
"167","Lvl","Inside","NridgHt","1Fam","9","5",2004,"Y",1462,762,10,1,"Y",350000
"168","Bnk","Inside","Edwards","1Fam","4","5",1954,"Y",948,0,5,0,"Y",111000
"169","Low","Inside","ClearCr","1Fam","7","5",1986,"Y",1453,0,6,1,"Y",190000
"170","Bnk","CulDSac","ClearCr","1Fam","6","6",1966,"Y",1643,0,6,1,"Y",195000
"171","Lvl","Inside","Sawyer","1Fam","5","5",1968,"Y",720,720,7,2,"Y",163000
"172","Lvl","Inside","Crawfor","1Fam","7","9",1941,"Y",1188,1152,9,2,"Y",266500
"173","Lvl","FR2","Mitchel","TwnhsE","6","5",1997,"Y",1189,0,4,0,"Y",160500
"174","Lvl","CulDSac","NWAmes","1Fam","7","7",1976,"Y",1142,793,7,1,"Y",197900
"175","Lvl","FR2","NoRidge","1Fam","9","5",2000,"Y",1533,639,8,1,"Y",291000
"176","Lvl","Inside","CollgCr","TwnhsE","6","5",2003,"Y",848,0,3,0,"Y",131500
"177","Lvl","CulDSac","NoRidge","1Fam","8","5",1998,"Y",1645,830,7,1,"Y",355000
"178","Lvl","Inside","CollgCr","1Fam","5","7",1979,"Y",914,0,5,0,"Y",134900
"179","Lvl","Inside","CollgCr","1Fam","5","5",1976,"Y",954,0,6,0,"Y",132500
"180","Lvl","Inside","BrkSide","1Fam","6","6",1919,"Y",1060,764,8,1,"N",180500
"181","Lvl","Inside","NAmes","1Fam","6","5",1964,"Y",1374,0,7,1,"Y",147000
"182","Lvl","Corner","NAmes","Duplex","5","5",1968,"Y",1560,0,8,0,"Y",126000
"183","Lvl","CulDSac","Crawfor","1Fam","6","4",1960,"Y",1560,0,6,3,"Y",201000
"184","Lvl","Inside","NAmes","1Fam","4","5",1971,"Y",872,0,5,0,"Y",123000
"185","Lvl","CulDSac","Sawyer","1Fam","5","5",1982,"Y",858,0,5,0,"Y",134900
"186","Lvl","Inside","Somerst","1Fam","8","5",2001,"Y",1568,0,6,1,"Y",221000
"187","Lvl","Inside","Gilbert","1Fam","7","5",2004,"Y",847,886,7,1,"Y",185088
"188","Lvl","Inside","NAmes","1Fam","5","5",1964,"Y",912,0,5,0,"Y",115000
"189","Lvl","Inside","NAmes","1Fam","5","7",1953,"Y",1057,0,5,0,"Y",109000
"190","Lvl","Corner","OldTown","1Fam","7","8",1879,"Y",1312,1142,8,1,"N",185000
"191","Lvl","Inside","NAmes","1Fam","5","5",1954,"Y",1128,0,5,0,"Y",118000
"192","Lvl","CulDSac","Sawyer","1Fam","5","6",1965,"Y",935,0,5,0,"Y",137000
"193","Lvl","Inside","OldTown","1Fam","5","9",1945,"Y",866,0,4,0,"Y",110500
"194","Lvl","Inside","OldTown","1Fam","7","9",1928,"Y",689,689,7,1,"N",161000
"195","Lvl","Inside","OldTown","1Fam","6","7",1917,"Y",664,624,5,1,"N",119000
"196","Lvl","Inside","Sawyer","1Fam","5","5",1961,"Y",864,0,5,0,"Y",122000
"197","Bnk","Inside","SawyerW","Duplex","5","5",1979,"Y",1224,0,6,2,"Y",153337
"198","Lvl","Inside","NridgHt","Twnhs","6","5",2005,"Y",1302,0,5,1,"Y",204000
"199","Lvl","Inside","Gilbert","1Fam","6","5",2004,"Y",864,729,8,1,"Y",193000
"200","Lvl","Inside","NAmes","1Fam","5","4",1935,"Y",1308,1778,9,0,"Y",301600
"201","Bnk","Corner","IDOTRR","Duplex","5","5",1963,"N",816,0,5,0,"Y",110000
"202","Lvl","Corner","NPkVill","TwnhsE","6","6",1976,"Y",804,744,7,1,"Y",155000
"203","Lvl","Inside","SawyerW","1Fam","6","5",1997,"Y",941,896,7,0,"Y",187000
"204","Lvl","Corner","NAmes","Duplex","5","5",1979,"Y",943,0,4,2,"Y",135960
"205","Lvl","CulDSac","Edwards","1Fam","5","3",1964,"Y",1298,0,5,0,"N",114000
"206","Lvl","Inside","NAmes","1Fam","5","6",1959,"Y",1144,0,6,1,"Y",143000
"207","Lvl","Inside","NridgHt","TwnhsE","9","5",2005,"Y",1752,0,6,1,"Y",319900
"208","Lvl","FR2","NWAmes","1Fam","6","6",1978,"Y",1032,0,6,1,"Y",148000
"209","HLS","Inside","Timber","1Fam","8","5",2006,"Y",1646,0,6,1,"Y",248900
"210","Lvl","Inside","CollgCr","1Fam","7","5",2002,"Y",936,840,7,1,"Y",192500
"211","Lvl","Inside","NridgHt","1Fam","9","5",2008,"Y",1966,1174,11,2,"Y",485000
"212","Lvl","Corner","NWAmes","1Fam","7","6",1973,"Y",1107,983,7,2,"Y",200000
"213","Lvl","Inside","Edwards","1Fam","6","4",1945,"Y",798,689,7,1,"Y",113000
"214","Lvl","Inside","CollgCr","1Fam","4","5",1994,"Y",990,0,5,0,"Y",123600
"215","Lvl","Corner","Sawyer","Duplex","6","5",1964,"Y",1921,0,8,0,"Y",150000
"216","Lvl","Inside","Edwards","1Fam","6","8",1935,"Y",1836,1836,7,2,"Y",415000
"217","Lvl","Inside","NAmes","1Fam","5","5",1959,"Y",1183,0,6,0,"Y",138000
"218","Lvl","Inside","Gilbert","1Fam","6","5",2005,"Y",783,701,8,1,"Y",178900
"219","Lvl","Inside","Somerst","1Fam","8","5",2007,"Y",1341,520,7,1,"Y",257000
"220","Lvl","Inside","NridgHt","1Fam","9","5",2003,"Y",1944,0,8,3,"Y",360000
"221","Lvl","Corner","NAmes","1Fam","6","7",1948,"Y",1064,0,6,0,"Y",135000
"222","Lvl","Inside","StoneBr","1Fam","9","5",2005,"Y",1992,876,11,1,"Y",556581
"223","Lvl","Inside","NridgHt","TwnhsE","9","5",2006,"Y",1666,0,6,1,"Y",310090
"224","Low","Inside","Mitchel","Duplex","5","4",1967,"Y",1632,0,8,0,"P",143000
"225","Lvl","Inside","NAmes","1Fam","6","9",1958,"Y",951,0,6,0,"Y",143500
"226","Lvl","Inside","NWAmes","1Fam","6","6",1967,"Y",1829,0,8,0,"Y",218500
"227","Lvl","Inside","CollgCr","1Fam","6","5",1997,"Y",905,881,7,0,"Y",204750
"228","Lvl","Corner","OldTown","1Fam","5","4",1900,"N",889,551,6,0,"Y",79000
"229","Lvl","FR2","NAmes","1Fam","6","8",1969,"Y",1054,0,6,0,"Y",151000
"230","Lvl","Inside","Mitchel","1Fam","5","5",1992,"Y",970,0,6,0,"Y",132000
"231","Lvl","Corner","NAmes","1Fam","5","7",1954,"Y",1056,0,6,0,"Y",139400
"232","Lvl","Corner","Gilbert","1Fam","6","5",2005,"Y",1324,0,6,0,"Y",199500
"233","Lvl","Inside","CollgCr","1Fam","6","5",1998,"Y",804,878,7,0,"Y",200500
"234","Lvl","Inside","NWAmes","1Fam","6","5",1972,"Y",1012,778,8,1,"Y",165150
"235","Lvl","Inside","NAmes","1Fam","5","6",1962,"Y",864,0,5,0,"Y",105000
"236","HLS","Inside","Crawfor","1Fam","7","7",1932,"Y",959,650,8,2,"Y",199500
"237","Lvl","Inside","SWISU","1Fam","5","6",1924,"Y",1026,665,6,1,"Y",127000
"238","Lvl","FR2","Sawyer","1Fam","5","5",1950,"Y",1640,0,7,1,"Y",131000
"239","Lvl","Inside","Somerst","1Fam","8","5",2000,"Y",1058,816,7,1,"Y",220000
"240","Lvl","Inside","StoneBr","TwnhsE","8","5",2000,"Y",1652,0,6,0,"Y",251000
"241","Lvl","Inside","OldTown","1Fam","7","5",1931,"Y",1022,752,8,2,"Y",129900
"242","Lvl","Inside","NoRidge","1Fam","8","5",1995,"Y",1358,1368,9,1,"Y",350000
"243","Lvl","Inside","OldTown","1Fam","4","6",1956,"Y",882,0,4,0,"Y",103200
"244","Lvl","Inside","NAmes","2fmCon","6","5",1958,"Y",1095,0,6,0,"Y",140000
"245","Lvl","Corner","NridgHt","1Fam","8","5",2007,"Y",2122,0,7,1,"Y",345474
"246","HLS","Inside","StoneBr","TwnhsE","9","5",2005,"Y",1714,0,7,1,"Y",318000
"247","Lvl","Inside","NAmes","1Fam","5","5",1955,"Y",1216,0,5,0,"Y",129500
"248","Lvl","Inside","CollgCr","1Fam","7","5",2005,"Y",728,728,7,1,"Y",189000
"249","Lvl","CulDSac","Somerst","TwnhsE","7","5",2004,"Y",1488,0,6,1,"Y",260000
"250","Lvl","Inside","NWAmes","1Fam","6","6",1978,"Y",2073,0,7,2,"Y",210000
"251","Lvl","Corner","NAmes","1Fam","5","7",1951,"Y",952,0,4,0,"Y",139000
"252","Lvl","Corner","NridgHt","1Fam","9","5",2004,"Y",1780,0,7,1,"Y",378000
"253","Lvl","Inside","OldTown","2fmCon","4","5",1920,"Y",736,716,8,0,"N",113000
"254","Lvl","Inside","SawyerW","1Fam","6","5",1983,"Y",1338,0,5,1,"Y",156500
"255","Lvl","Inside","Mitchel","Duplex","7","5",1988,"Y",1959,0,9,0,"Y",171000
"256","Lvl","Inside","OldTown","1Fam","6","6",1927,"Y",866,430,6,0,"Y",127500
"257","Lvl","Inside","NAmes","1Fam","7","6",1973,"Y",2223,0,8,2,"Y",244000
"258","Lvl","Inside","NAmes","1Fam","5","7",1949,"Y",1036,0,6,1,"Y",133000
"259","Lvl","Inside","Somerst","1Fam","7","5",2008,"Y",1436,0,6,0,"Y",225000
"260","Lvl","Inside","NAmes","Duplex","5","5",1958,"Y",1560,0,8,0,"Y",128600
"261","Lvl","Inside","Somerst","TwnhsE","8","5",2006,"Y",1550,0,5,0,"Y",207500
"262","Lvl","Inside","CollgCr","1Fam","9","5",2000,"Y",1476,677,8,2,"Y",313000
"263","Lvl","Inside","Crawfor","1Fam","4","5",1995,"Y",1680,0,7,0,"Y",170000
"264","Lvl","Inside","CollgCr","1Fam","7","5",2006,"Y",1294,0,6,1,"Y",193879
"265","Lvl","Inside","SWISU","2fmCon","5","8",1916,"Y",948,980,10,0,"N",160000
"266","Lvl","Inside","NridgHt","TwnhsE","8","5",2006,"Y",1370,0,6,1,"Y",205000
"267","HLS","Corner","Timber","1Fam","8","5",2007,"Y",920,860,6,1,"Y",264966
"268","Lvl","FR3","IDOTRR","1Fam","5","8",1910,"Y",665,665,7,0,"N",116500
"269","Lvl","Inside","SawyerW","1Fam","5","5",2004,"Y",1114,0,6,0,"Y",159000
"270","Lvl","Inside","Gilbert","1Fam","7","5",2003,"Y",847,1101,8,1,"Y",211000
"271","Lvl","Inside","Mitchel","1Fam","5","6",1992,"Y",883,0,5,1,"Y",149000
"272","Lvl","Inside","NPkVill","Twnhs","7","7",1978,"Y",1055,0,4,0,"Y",142500
"273","Lvl","Inside","NAmes","1Fam","5","9",1953,"Y",1154,0,6,0,"Y",142000
"274","Lvl","Inside","Somerst","Twnhs","7","5",2005,"Y",520,623,4,0,"Y",147400
"275","Lvl","CulDSac","NridgHt","1Fam","8","5",2007,"Y",1508,1012,10,1,"Y",409900
"276","Lvl","Inside","CollgCr","1Fam","8","5",1998,"Y",1210,1242,9,1,"Y",267000
"277","Lvl","Inside","MeadowV","TwnhsE","4","6",1972,"Y",546,546,5,0,"Y",85500
"278","Lvl","Inside","NAmes","1Fam","4","7",1949,"Y",832,629,6,0,"Y",133500
"279","Lvl","Inside","Timber","1Fam","6","5",2000,"Y",1403,0,5,0,"Y",202000
